x	y	label	cl	con
-5.095489	-1.045387	normal	inlier	correctreject
-5.039935	-0.865095	normal	inlier	correctreject
-5.057165	-0.979233	normal	inlier	correctreject
-4.857768	-1.110472	normal	inlier	correctreject
-5.102038	-1.077250	normal	inlier	correctreject
-5.129494	-1.012653	normal	inlier	correctreject
-5.027058	-1.196987	normal	inlier	correctreject
-5.135812	-0.929995	normal	inlier	correctreject
-5.090483	-1.225499	normal	inlier	correctreject
-5.165852	-1.144004	normal	inlier	correctreject
-5.091562	-1.152999	normal	inlier	correctreject
-5.285457	-1.006598	normal	inlier	correctreject
-4.962863	-1.087647	normal	inlier	correctreject
-4.859842	-0.845146	normal	inlier	correctreject
-4.954609	-1.140987	normal	inlier	correctreject
-5.189609	-1.061929	normal	inlier	correctreject
-5.219869	-0.879448	normal	inlier	correctreject
-4.977168	-1.189501	normal	inlier	correctreject
-4.985009	-1.258422	normal	inlier	correctreject
-5.026794	-0.837429	normal	inlier	correctreject
-5.062959	-1.045065	normal	inlier	correctreject
-5.162429	-0.859992	normal	inlier	correctreject
-5.091070	-0.901317	normal	inlier	correctreject
-4.784424	-1.006551	normal	inlier	correctreject
-5.033332	-0.919699	normal	inlier	correctreject
-4.883040	-0.796063	normal	inlier	correctreject
-4.965287	-1.107107	normal	inlier	correctreject
-5.137117	-1.132001	normal	inlier	correctreject
-5.014709	-0.740860	normal	inlier	correctreject
-5.298432	-1.003427	normal	inlier	correctreject
-5.056322	-1.136455	normal	inlier	correctreject
-4.938779	-1.223078	normal	inlier	correctreject
-5.224188	-1.156177	normal	inlier	correctreject
-4.865925	-0.837072	normal	inlier	correctreject
-4.966493	-1.100445	normal	inlier	correctreject
-4.943883	-1.015407	normal	inlier	correctreject
-5.072995	-1.275901	normal	inlier	correctreject
-4.839902	-0.914303	normal	inlier	correctreject
-5.070502	-1.242046	normal	inlier	correctreject
-5.000870	-0.883909	normal	inlier	correctreject
-4.979622	-0.856799	normal	inlier	correctreject
-5.134844	-1.025211	normal	inlier	correctreject
-5.022821	-1.040096	normal	inlier	correctreject
-5.192847	-1.048309	normal	inlier	correctreject
-5.177643	-1.128116	normal	inlier	correctreject
-4.991869	-0.971719	normal	inlier	correctreject
-5.053062	-1.242235	normal	inlier	correctreject
-5.156709	-0.917834	normal	inlier	correctreject
-4.963883	-1.243531	normal	inlier	correctreject
-4.898907	-0.824814	normal	inlier	correctreject
-5.158102	-1.016193	normal	inlier	correctreject
-4.891262	-0.921172	normal	inlier	correctreject
-5.110810	-1.232634	normal	inlier	correctreject
-4.955847	-0.960572	normal	inlier	correctreject
-4.883195	-1.173780	normal	inlier	correctreject
-4.924402	-1.036497	normal	inlier	correctreject
-4.864198	-0.965782	normal	inlier	correctreject
-4.929820	-1.000559	normal	inlier	correctreject
-4.858999	-0.982654	normal	inlier	correctreject
-5.115029	-1.258005	normal	inlier	correctreject
-4.879583	-1.056606	normal	inlier	correctreject
-5.268536	-1.111961	normal	inlier	correctreject
-4.801200	-0.789460	normal	inlier	correctreject
-5.109644	-1.049658	normal	inlier	correctreject
-4.885873	-1.164417	normal	inlier	correctreject
-4.858087	-1.247633	normal	inlier	correctreject
