x	y	label	fold	con
5.243636	5.765390	anomaly	2	hit
9.361345	-0.712820	anomaly	2	hit
0.540777	-2.345313	anomaly	2	hit
1.792309	-3.231941	anomaly	2	miss
-5.411682	-8.943826	anomaly	2	hit
3.679902	-7.846715	anomaly	2	hit
3.700323	6.665682	anomaly	2	hit
-4.365113	-3.201246	anomaly	2	miss
6.761352	-1.373233	anomaly	2	miss
-0.990145	-8.585968	anomaly	2	hit
1.693684	-1.091114	anomaly	2	hit
-1.844214	-9.512019	anomaly	2	hit
-5.502280	0.870840	anomaly	2	hit
9.547877	-7.777174	anomaly	2	hit
-2.686287	-1.756255	anomaly	3	miss
2.575937	-1.586220	anomaly	3	miss
1.325792	5.692742	anomaly	3	hit
4.025481	-7.694762	anomaly	3	hit
-0.419231	-2.278186	anomaly	3	hit
8.137069	1.636122	anomaly	3	hit
-2.666429	-1.361057	anomaly	3	hit
4.416106	-10.598187	anomaly	3	hit
-3.756940	-6.870162	anomaly	3	hit
-0.090633	-2.400422	anomaly	3	hit
-0.635838	-11.823281	anomaly	3	hit
3.634779	-6.483549	anomaly	3	hit
0.014118	-2.066852	anomaly	3	hit
-5.184879	-6.519796	anomaly	3	hit
-0.514034	2.423137	anomaly	3	hit
-5.413536	-7.103773	anomaly	3	hit
9.636632	-2.534709	anomaly	3	hit
8.169040	3.774152	anomaly	3	hit
-5.508209	0.183507	anomaly	3	hit
2.126376	-9.990512	anomaly	3	hit
-4.535102	-6.934914	anomaly	3	hit
0.753290	-5.783727	anomaly	3	miss
-0.765896	3.240647	anomaly	3	hit
-6.802752	-7.031327	anomaly	3	hit
-3.550120	4.109226	anomaly	3	hit
-2.815230	-8.419874	anomaly	3	hit
3.251446	-11.259738	anomaly	3	hit
0.395353	-9.720371	anomaly	3	hit
0.792776	6.335832	anomaly	3	hit
-5.510756	-1.093976	anomaly	3	hit
2.064016	-8.505458	anomaly	3	hit
-0.034093	6.761764	anomaly	3	hit
-6.160930	4.796690	anomaly	3	hit
-4.194145	-4.651937	anomaly	3	miss
